Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
GER_hms_government;Германская империя;;;;;;;;;;;;;
finnougric;Финно-угорский;;;;;;;;;;;;;
ARC_reactionary;Социедад Популяр Рестауратора;;;;;;;;;;;;;
TMT;Туамоту;;;;;;;;;;;;;
TMT_ADJ;Туамоту;;;;;;;;;;;;;
ION_liberal;Ризоспастес;;;;;;;;;;;;;
ION_conservative;Метарритмистес;;;;;;;;;;;;;
ION_reactionary;Простасианои;;;;;;;;;;;;;
ION_socialist;Социалистикэ Кэмма;;;;;;;;;;;;;
ION_communist;Коммунистикэ Кэмма;;;;;;;;;;;;;
ION_fascist;Этники Эносис;;;;;;;;;;;;;
ION_anarcho_liberal;Этникон Ризоспастикон Кэмма;;;;;;;;;;;;;
ATC;Антильская конфедерация;;;;;;;;;;;;;
ATC_ADJ;Антильский;;;;;;;;;;;;;
PPG;Папуа-Новая Гвинея;;;;;;;;;;;;;
PPG_ADJ;Папуа-Новогвинейский;;;;;;;;;;;;;
VTU;Вануату;;;;;;;;;;;;;
VTU_ADJ;Ни-Вануату;;;;;;;;;;;;;
SMO;Самоа;;;;;;;;;;;;;
SMO_ADJ;Самоанский;;;;;;;;;;;;;
ROM_reactionary;Партидул Национал Дак;;;;;;;;;;;;;
ROM_reactionary_2;Партидул Националист-Демократ;;;;;;;;;;;;;
ROM_reactionary_3;Партидул Попорулуй;;;;;;;;;;;;;
ROM_conservative;Партидул Консерватор;;;;;;;;;;;;;
ROM_conservative_2;Партидул Таранеск;;;;;;;;;;;;;
ROM_conservative_3;Партидул Национал Таранеск;;;;;;;;;;;;;
ROM_liberal;Фракционистии;;;;;;;;;;;;;
ROM_liberal_2;Партидул Национал Либерал;;;;;;;;;;;;;
ROM_anarcho_liberal;Партидул пентру Дрептуриле Омулуй;;;;;;;;;;;;;
ROM_socialist;Партидул Социал-Демократ;;;;;;;;;;;;;
ROM_communist;Партидул Комунист;;;;;;;;;;;;;
ROM_fascist;Гарда де Фиер;;;;;;;;;;;;;
ZBW;Зимбабве;;;;;;;;;;;;;
ZBW_ADJ;Зимбабвийский;;;;;;;;;;;;;
ZBW_liberal;Объединенный африканский национальный совет;;;;;;;;;;;;;
ZBW_conservative;Зимбабвийская объединенная народная организация;;;;;;;;;;;;;
ZBW_socialist;Зимбабвийский африканский национальный союз;;;;;;;;;;;;;
ZBW_reactionary;Патриотический фронт;;;;;;;;;;;;;
ZBW_anarcho_liberal;Радикальная партия Зимбабве;;;;;;;;;;;;;
ZBW_communist;Зимбабвийский африканский народный союз;;;;;;;;;;;;;
ZBW_fascist;Фашистская партия Зимбабве;;;;;;;;;;;;;
CMS;Коморские Острова;;;;;;;;;;;;;
CMS_ADJ;Коморский;;;;;;;;;;;;;
