Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
end_sikh_war_title;Завершить войну со Сикхами;;;;;;;;;;;;;
end_sikh_war_desc;Британцы считают англо-сикхскую войну своим делом, и мы не будем вмешиваться в нее.;;;;;;;;;;;;;
found_niger_company_title;Основать компанию "Нигер" $COUNTRY_ADJ$;;;;;;;;;;;;;
found_niger_company_desc;Переговоры высших должностных лиц в $CAPITAL$ подошли к концу, и основание компании "Нигер" $COUNTRY_ADJ$ стало основным рекомендуемым действием. С усилением колониальной конкуренции в результате Африканской конференции, наличие позиции на юге Нигера, которую может предоставить компания, может значительно помочь расширению $COUNTRY_ADJ$ в дельте Нигера. Всего не хватает начального капитала для компании.;;;;;;;;;;;;;
abolish_umar_pact_title;Отменить Пакт Умара;;;;;;;;;;;;;
abolish_umar_pact_desc;Пакт Умара - это 7-й век договор между мусульманами и христианами Сирии, Месопотамии или Иерусалима, который позднее получил канонический статус в исламской юриспруденции. В общем, пакт содержит список прав и ограничений для немусульман (диммис). Соблюдая их, немусульмане обеспечивают безопасность своей личности, своих семей и своей собственности. Согласно пакту, все диммис имеют защищенную веру и статус - они свободны в исповедании своей религии и не обязаны конвертироваться, взамен они уплачивают налог - джизью. Отмена пакта означает отказ от этого налога, но позволяет предпринять усилия по обращению немусульман. Это путь без возврата, который сильно разозлит другие страны, а также наше собственное население диммис.;;;;;;;;;;;;;
partisan_flip_to_original_owner_title;Партизаны Победили;;;;;;;;;;;;;
partisan_flip_to_original_owner_desc;Партизаны Победили;;;;;;;;;;;;;
transfer_vassalage_title;Передача вассальства;;;;;;;;;;;;;
transfer_vassalage_desc;Пришло время выстроить наши отношения со своими новыми хозяевами.;;;;;;;;;;;;;
build_suez_canal_desc;Одной из давних проблем для судоходства на торговых путях на Дальнем Востоке и в Индии всегда была необходимость обогнуть Африканский мыс, чтобы действительно туда добраться. Установив канал через Суэц, мы сократим путь к Азии на несколько дней, а также выполним замечательное инженерное достижение. Однако стоимость этого достижения оценивается в 1-3 миллиона фунтов.;;;;;;;;;;;;;
build_kiel_canal_desc;Строительство канала между Балтийским и Северным морями будет огромным преимуществом для наших судовозов, и мы можем построить его в Киле. Канал в Киле и датские острова с их многочисленными извилистыми каналами позволят $COUNTRY$ играть в игру в прятки с сильным морским противником, таким как Королевский флот. Кроме того, он значительно укрепит позиции $COUNTRY$ в Балтийском море. В то время как Россия должна направлять свои корабли через Скагер-Рак и Каттегат, $COUNTRY$ может быстро и безопасно пройти через канал. Наконец, но не менее важно, канал превратит Балтийское и Северное море в единое море насколько это касается $COUNTRY$. Киль - огромный порт, но он расположен на Балтике, в то время как Вильгельмсхафен на Северном море слишком мал. Оцениваемые затраты составляют от 0,5 до 1,5 миллиона фунтов.;;;;;;;;;;;;;
build_panama_canal_desc;Предложения о строительстве канала через нейкильский перешеек, вероятно, восходят к первому открытию этой местности. Нигде полоса суши, соединяющая Северную и Южную Америку, не настолько узка, как здесь, и с помощью современной инженерии мы можем сократить время путешествия между Атлантикой и Тихим океаном на несколько дней. Каналу потребуется много времени для строительства и, вероятно, 2-6 миллионов фунтов стерлингов.;;;;;;;;;;;;;
cotton_in_algiers_title;Декреты $YEAR$ года об алжирском хлопке;;;;;;;;;;;;;
cotton_in_algiers_desc;В условиях большого спроса на хлопок, правительство $COUNTRY_ADJ$ в $CAPITAL$ решило принять ряд декретов, стимулирующих выращивание хлопка в Алжире. Эти декреты предусматривают обязательство государства в течение трех лет покупать у $YEAR$ года всю хлопковую урожайность алжирских плантаторов по заранее установленной цене, в то время как мировые цены высоки. Другая ось действия, установленная этими декретами, заключалась в предоставлении, еще на два года, экспортных премий в $COUNTRY$ за хлопок, собранный в Алжире.;;;;;;;;;;;;;
plantations_in_comoros_title;Экономические реформы на Коморских островах;;;;;;;;;;;;;
plantations_in_comoros_desc;Коморские острова - это архипелаг вулканических островов недалеко от Мадагаскара, в основном населенных мусульманами. Сельское хозяйство там ориентировано на базовые потребности жителей, но теперь, под управлением $COUNTRY_ADJ$, это неактуально. Открытие островов для инвестиций $COUNTRY_ADJ$ приведет к производству новых сельскохозяйственных культур и новых товаров, производимых местными жителями с использованием денег $COUNTRY_ADJ$ - что представляет большой интерес для $CAPITAL$.;;;;;;;;;;;;;
