Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
end_sikh_war_title;Завершить войну со Сикхами;;;;;;;;;;;;;
end_sikh_war_desc;Британцы считают англо-сикхскую войну своим делом, и мы не будем вмешиваться в нее.;;;;;;;;;;;;;
found_niger_company_title;"Основать компанию ""Нигер"" $COUNTRY_ADJ$";;;;;;;;;;;;;
found_niger_company_desc;"Переговоры высших должностных лиц в $CAPITAL$ подошли к концу, и основание компании ""Нигер"" $COUNTRY_ADJ$ стало основным рекомендуемым действием. С усилением колониальной конкуренции в результате Африканской конференции, наличие позиции на юге Нигера, которую может предоставить компания, может значительно помочь расширению $COUNTRY_ADJ$ в дельте Нигера. Всего не хватает начального капитала для компании.";;;;;;;;;;;;;
abolish_umar_pact_title;Отменить Пакт Умара;;;;;;;;;;;;;
abolish_umar_pact_desc;Пакт Умара - это 7-й век договор между мусульманами и христианами Сирии, Месопотамии или Иерусалима, который позднее получил канонический статус в исламской юриспруденции. В общем, пакт содержит список прав и ограничений для немусульман (диммис). Соблюдая их, немусульмане обеспечивают безопасность своей личности, своих семей и своей собственности. Согласно пакту, все диммис имеют защищенную веру и статус - они свободны в исповедании своей религии и не обязаны конвертироваться, взамен они уплачивают налог - джизью. Отмена пакта означает отказ от этого налога, но позволяет предпринять усилия по обращению немусульман. Это путь без возврата, который сильно разозлит другие страны, а также наше собственное население диммис.;;;;;;;;;;;;;
partisan_flip_to_original_owner_title;Партизаны Победили;;;;;;;;;;;;;
partisan_flip_to_original_owner_desc;Партизаны Победили;;;;;;;;;;;;;
transfer_vassalage_title;Передача вассальства;;;;;;;;;;;;;
transfer_vassalage_desc;Пришло время выстроить наши отношения со своими новыми хозяевами.;;;;;;;;;;;;;
build_suez_canal_desc;Одной из давних проблем для судоходства на торговых путях на Дальнем Востоке и в Индии всегда была необходимость обогнуть Африканский мыс, чтобы действительно туда добраться. Установив канал через Суэц, мы сократим путь к Азии на несколько дней, а также выполним замечательное инженерное достижение. Однако стоимость этого достижения оценивается в 1-3 миллиона фунтов.;;;;;;;;;;;;;
